coverage,fetal_fraction,state,mean,variance
500,0.01,1,1.1086699569683967,0.007870459524938127
500,0.01,2,1.1085756883101552,0.007779676052256988
500,0.01,3,1.110529878269315,0.007942496673507098
500,0.01,4,1.112724863241584,0.008211014309775801
500,0.01,5,129.14678853790056,7734.910500228992
500,0.01,6,248.34811715331523,21001.052103649963
500,0.01,7,249.1341600366848,21176.35198423997
500,0.02,1,1.108181394839488,0.007620212328051115
500,0.02,2,1.1091362070877828,0.007774321593931454
500,0.02,3,1.114998970487985,0.008619290454697871
500,0.02,4,1.1205128193071934,0.009431351080421996
500,0.02,5,55.70542868057809,654.1305737872544
500,0.02,6,127.58159890276025,7566.445538813467
500,0.02,7,128.97117309092536,7772.47900945002
500,0.03,1,1.1081796433273552,0.007567035344952835
500,0.03,2,1.1102535826610644,0.007880715990608347
500,0.03,3,1.1213783787588283,0.009583369470738328
500,0.03,4,1.1356356189363477,0.011415969802549678
500,0.03,5,35.42469656842596,128.41260168642324
500,0.03,6,78.38957371781343,2091.2831501492906
500,0.03,7,79.69739789863013,2203.13948224071
500,0.04,1,1.1063783086341548,0.007414250098115711
500,0.04,2,1.1109648272574053,0.008065207609359186
500,0.04,3,1.1303549901977767,0.01080741664169925
500,0.04,4,1.1548199216993227,0.013660326250685573
500,0.04,5,25.939185212716197,48.12749020355366
500,0.04,6,55.752597935633545,687.7405916325663
500,0.04,7,56.91374370040285,723.0429566814671
500,0.05,1,1.1070026928245966,0.007266277260307133
500,0.05,2,1.1135911528417881,0.00829164380941915
500,0.05,3,1.1428382309984328,0.012056023323437757
500,0.05,4,1.1806139325886718,0.01584456961283212
500,0.05,5,20.443773515668457,23.11533872079021
500,0.05,6,43.11859071916416,279.54912964035304
500,0.05,7,44.169355749615264,292.5591425244462
500,0.06,1,1.1065096946797979,0.007446526469521664
500,0.06,2,1.1172146042883064,0.00888168776303674
500,0.06,3,1.159116804452049,0.014172222123263405
500,0.06,4,1.2100542506131915,0.018759885977120944
500,0.06,5,16.77403207822271,12.319815366706903
500,0.06,6,35.026931837267824,125.39084156359871
500,0.06,7,36.08758812082218,135.47238006395423
500,0.07,1,1.1057153837746285,0.007255786348399674
500,0.07,2,1.1204129392276874,0.009132922115058935
500,0.07,3,1.174870442343076,0.01549143872751841
500,0.07,4,1.239895223282622,0.02041627437812115
500,0.07,5,14.236426172334571,7.873481679499136
500,0.07,6,29.512002027098514,76.43520484746871
500,0.07,7,30.598590509048726,82.25628028161852
500,0.08,1,1.1046540421050026,0.006985550961095012
500,0.08,2,1.124965133803577,0.009694112952259037
500,0.08,3,1.195656203900832,0.017744988508301793
500,0.08,4,1.2760646253154788,0.023123437643607418
500,0.08,5,12.391756937345924,5.374988590594018
500,0.08,6,25.51710792725071,48.31480643346923
500,0.08,7,26.54958933689448,51.758063093427644
500,0.09,1,1.1056029109954508,0.007189347134739106
500,0.09,2,1.130416206403034,0.010291451062597674
500,0.09,3,1.2156100653894364,0.019295779535941186
500,0.09,4,1.3096194831437198,0.02487525983519899
500,0.09,5,10.853453728450443,3.6373662207944424
500,0.09,6,22.30269702452869,31.454641053189263
500,0.09,7,23.37053751291306,34.5777211648605
500,0.1,1,1.1038351108908078,0.006874062237678967
500,0.1,2,1.1347980342846382,0.01072322490294063
500,0.1,3,1.2380689880876115,0.020634858801838546
500,0.1,4,1.3467742074515954,0.02587504607269229
500,0.1,5,9.703340144719867,2.7068634474385806
500,0.1,6,19.905978320877807,22.822769272310378
500,0.1,7,20.958845745071333,25.25074152426498
500,0.11,1,1.102806401066273,0.006886224440324192
500,0.11,2,1.1416847871727722,0.01145870664761972
500,0.11,3,1.26190417036641,0.02230615911256399
500,0.11,4,1.384685850640841,0.026924549762674818
500,0.11,5,8.784829108131053,2.024088022957294
500,0.11,6,17.978483357920158,17.017950308088523
500,0.11,7,19.016396501117818,18.945855409160533
500,0.12,1,1.1038192548700505,0.006937286327367653
500,0.12,2,1.147308397860951,0.011984635274786323
500,0.12,3,1.2851409613293971,0.023437345359941866
500,0.12,4,1.4203262876687552,0.02839563719977046
500,0.12,5,7.9920547120012815,1.543052319772373
500,0.12,6,16.309666531330436,13.105108334801175
500,0.12,7,17.356873350210826,14.690950486554186
500,0.13,1,1.1026111540430412,0.006801354411768962
500,0.13,2,1.1544759301835141,0.012587987286524986
500,0.13,3,1.3118829197225885,0.02501195085412746
500,0.13,4,1.463825268482641,0.03007437215759927
500,0.13,5,7.312982238685413,1.2080545448598634
500,0.13,6,14.904476930261573,9.904400389984753
500,0.13,7,15.948641142740478,11.185293505618061
500,0.14,1,1.1030089214723873,0.006736167502764451
500,0.14,2,1.1619576734220527,0.013127265723675164
500,0.14,3,1.3368970962977706,0.025934852048170122
500,0.14,4,1.4997832223675451,0.031200752329273662
500,0.14,5,6.750887666130561,0.9937512184911328
500,0.14,6,13.718133588816906,7.832816990509347
500,0.14,7,14.758105535528554,8.879945716790838
500,0.15,1,1.103226147422621,0.006728382805609901
500,0.15,2,1.1694657296045485,0.013778193087966371
500,0.15,3,1.3637052633504587,0.02716582264151117
500,0.15,4,1.5408966264284532,0.03280665704708379
500,0.15,5,6.246926772139945,0.7883217923150944
500,0.15,6,12.720172216998284,6.300730335969272
500,0.15,7,13.765520774946484,7.332120579183791
500,0.16,1,1.1003297684945732,0.006495427021754233
500,0.16,2,1.176790443214577,0.014031366397918906
500,0.16,3,1.3918234276164694,0.028422167762676205
500,0.16,4,1.5866954538025446,0.034880637753899685
500,0.16,5,5.8459759461331915,0.6684411070637313
500,0.16,6,11.88515951255599,5.26436173493636
500,0.16,7,12.909096429049885,6.122248110709589
500,0.17,1,1.1006068657786785,0.006517000822862177
500,0.17,2,1.1860847705936521,0.014631292283374094
500,0.17,3,1.4228367400503275,0.029245698819214856
500,0.17,4,1.6295250463634599,0.03568089459245195
500,0.17,5,5.4603161652315215,0.55255432843877506
500,0.17,6,11.069774008123773,4.214719532411303
500,0.17,7,12.102628954242915,4.956029390919456
500,0.18,1,1.100648093002514,0.006471285689735998
500,0.18,2,1.1939453469161307,0.015117354107634956
500,0.18,3,1.4498442159621174,0.030858928879841884
500,0.18,4,1.6704992447830742,0.03888914380859765
500,0.18,5,5.129868109673437,0.4645144302702531
500,0.18,6,10.401130224372274,3.5976469605581674
500,0.18,7,11.431541382661026,4.2822833998034975
500,0.19,1,1.1005179405910572,0.006521940842892897
500,0.19,2,1.2027453731018434,0.01571123468950335
500,0.19,3,1.4827906393735657,0.03232006216560924
500,0.19,4,1.7217231847611227,0.040708998844328964
500,0.19,5,4.8224260298851025,0.3901245233984022
500,0.19,6,9.767504361976698,3.036560053276584
500,0.19,7,10.79762506974627,3.6868992745823377
500,0.2,1,1.100585671310318,0.006482588735853122
500,0.2,2,1.2125136927125704,0.016040148239512657
500,0.2,3,1.51376506802282,0.03326674636445176
500,0.2,4,1.7649433577011258,0.04222852659871915
500,0.2,5,4.545388409368323,0.3335247627491812
500,0.2,6,9.209064224645612,2.5839624349829062
500,0.2,7,10.236574533973021,3.152093510154837
1000,0.01,1,1.0756388577007128,0.003582957977656517
1000,0.01,2,1.0760661506786506,0.0036345240233461498
1000,0.01,3,1.0782238072683743,0.0038333661583231666
1000,0.01,4,1.0803640165246726,0.003970698548259175
1000,0.01,5,112.94539609037008,2566.6438221348017
1000,0.01,6,256.8140005114007,31026.228930365112
1000,0.01,7,258.2179285751811,31389.38507701364
1000,0.02,1,1.0750407725392586,0.0035167316432003224
1000,0.02,2,1.0764183279241186,0.0036149920205542315
1000,0.02,3,1.0830106745551604,0.0042269256431375565
1000,0.02,4,1.0916070590684144,0.0049718222162852144
1000,0.02,5,52.225459624269085,187.12991830951694
1000,0.02,6,111.75931863660855,2382.5185310366915
1000,0.02,7,113.21215263078011,2498.1331562890355
1000,0.03,1,1.075229321214947,0.0035155267781452715
1000,0.03,2,1.0785727989192182,0.0038727635067657587
1000,0.03,3,1.0921018505521087,0.005160465654467162
